MQS1        SLPFQ1C     0x066   2   r
MQS1        SHPFQ2A     0x068   2   r
MQS1        SHPFQ2B     0x06A   2   r
MQS1        SHPFQ2C     0x06C   2   r
MQS1        SLPFQ2A     0x06E   2   r
MQS1        SLPFQ2B     0x070   2   r
MQS1        SLPFQ2C     0x072   2   r
MQS1        BCDP0S1     0x074   2   r
MQS1        BCDM0S1     0x076   2   r
MQS1        BCDP1S1     0x078   2   r
MQS1        BCDM1S1     0x07A   2   r
MQS1        BCDP2S1     0x07C   2   r
MQS1        BCDM2S1     0x07E   2   r
MQS1        BCDP3S1     0x080   2   r
MQS1        BCDM3S1     0x082   2   r
MQS1        BCDP0S2     0x084   2   r
MQS1        BCDM0S2     0x086   2   r
MQS1        BCDP1S2     0x088   2   r
MQS1        BCDM1S2     0x08A   2   r
MQS1        BCDP2S2     0x08C   2   r
MQS1        BCDM2S2     0x08E   2   r
MQS1        BCDP3S2     0x090   2   r
MQS1        BCDM3S2     0x092   2   r
MQS1        BMAS        0x094   2   r

EL11        MSTR        0x380   2   rw
EL11        GTC0        0x382   2   rw
EL11        GTC1        0x384   2   rw
EL11        GTS0        0x386   2   rw
EL11        GTS1        0x388   2   r
EL11        IGM         0x38A   2   rw
EL11        GPWT        0x38C   2   rw
EL11        ES0         0x38E   2   rw
EL11        EM0         0x390   2   rw
EL11        ES1         0x392   2   rw
EL11        EM1         0x394   2   rw
EL11        ES2         0x396   2   rw
EL11        EM2         0x398   2   rw
EL11        MCUIS       0x39A   2   rw
EL11        MCUIM       0x39C   2   rw
EL11        DVIM        0x39E   2   rw
EL11        TBPRE       0x3A0   2   rw
EL11        TBPREM      0x3A2   2   rw
EL11        TRQBC       0x3A4   2   rw
EL11        TRQBCM      0x3A6   2   rw
EL11        TMQBC       0x3A8   2   r
EL11        TCFC        0x3AA   2   rw
EL11        TRFC        0x3AC   2   rw
EL11        TRAFN_H     0x3AE   2   rw
EL11        TRAFN_L     0x3B0   2   rw
EL11        TRAFNM_H    0x3B2   2   rw
EL11        TRAFNM_L    0x3B4   2   rw
EL11        TCFN_H      0x3B6   2   rw
EL11        TCFN_L      0x3B8   2   rw
EL11        TQBCFT      0x3BA   2   rw
EL11        TPIT        0x3BC   2   rw
EL11        TPITM       0x3BE   2   rw
EL11        QBCO        0x3C0   2   rw
EL11        QBCO_UTF_F  0x3C2   2   rw
EL11        QBCO_UTF_Q  0x3C4   2   rw
EL11        QBCO_UC0    0x3C6   2   rw
EL11        QBCO_UC1    0x3C8   2   rw
EL11        EG_FT0_CFG  0x3CA   2   rw
EL11        EG_FT1_CFG  0x3CC   2   rw
EL11        EG_NFT_CFG  0x3CE   2   rw
EL11        EG_MA_CFG   0x3D0   2   rw
EL11        EG_MB_CFG   0x3D2   2   rw
EL11        EG_MC_CFG   0x3D4   2   rw
EL11        EG_PT_CFG   0x3D6   2   rw
EL11        EG_FPTR     0x3D8   2   r
EL11        EG_MPTR0    0x3DA   2   r
EL11        EG_MPTR1    0x3DC   2   r
EL11        EG_D0_FD    0x3DE   2   rw
EL11        EG_D0_QD    0x3E0   2   rw
EL11        EG_D1_FD    0x3E2   2   rw
EL11        EG_D1_QD    0x3E4   2   rw
EL11        EG_D2_FD    0x3E6   2   rw
EL11        EG_D2_QD    0x3E8   2   rw
EL11        EG_D3_FD    0x3EA   2   rw
EL11        EG_D3_QD    0x3EC   2   rw
EL11        LP0         0x3EE   2   rw
EL11        LP1         0x3F0   2   rw
EL11        LP2         0x3F2   2   rw
EL11        LP3         0x3F4   2   rw
EL11        PCFG        0x3F6   2   rw
EL11        PD          0x3F8   2   rw
EL11        PS          0x3FA   2   r
EL11        PTC         0x3FC   2   rw
EL11        PDIMASK     0x3FE   2   rw
EL11        EG_MD       0x400   2   rw
EL11        ECGM        0x402   2   rw
EL11        ECD         0x404   2   rw
EL11        ECFSGC      0x406   2   rw
EL11        EFSD        0x408   2   rw
EL11        EFSR        0x40A   2   rw
EL11        EFSC        0x40C   2   rw
EL11        DTX         0x40E   2   rw
EL11        TMC         0x410   2   rw
EL11        PPD0        0x412   2   rw
EL11        PPD1        0x414   2   rw
EL11        PPD2        0x416   2   rw
EL11        PPD3        0x418   2   rw
